game_id;team_id;team_name;pts_tot;pts_reb;pts_ast;pts_blk;best_at_pts;best_at_reb;best_at_ast;best_at_blk
7049317;1;Atlanta Hawks;113;49;25;4;Trae Young;Clint Capela;Dejounte Murray;Clint Capela
1038321;1;Atlanta Hawks;117;49;24;2;Saddiq Bey;Jalen Johnson;Trae Young;Onyeka Okongwu
1037679;24;Phoenix Suns;120;43;29;10;Kevin Durant;Jordan Goodwin;Eric Gordon;Drew Eubanks
1038065;24;Phoenix Suns;122;32;23;2;Devin Booker;Jusuf Nurkic;Devin Booker;Bradley Beal
1038042;24;Phoenix Suns;112;35;21;4;Kevin Durant;Jusuf Nurkic;Devin Booker;Grayson Allen
1037694;1;Atlanta Hawks;117;59;27;3;Dejounte Murray;Onyeka Okongwu;Trae Young;Clint Capela
1038046;17;Milwaukee Bucks;113;46;27;8;Giannis Antetokounmpo;Giannis Antetokounmpo;Giannis Antetokounmpo;Brook Lopez
1038613;1;Atlanta Hawks;132;43;40;5;Dejounte Murray;Clint Capela;Dejounte Murray;Wesley Matthews
15882422;17;Milwaukee Bucks;98;40;19;0;Damian Lillard;Bobby Portis;Patrick Beverley;Giannis Antetokounmpo
15882422;17;Milwaukee Bucks;98;40;19;0;Damian Lillard;Bobby Portis;Patrick Beverley;Thanasis Antetokounmpo
1038714;17;Milwaukee Bucks;111;45;21;6;Damian Lillard;Bobby Portis;Damian Lillard;Pat Connaughton
1038337;17;Milwaukee Bucks;120;53;26;5;Damian Lillard;Giannis Antetokounmpo;Damian Lillard;Brook Lopez
1037753;17;Milwaukee Bucks;128;41;25;9;Damian Lillard;Brook Lopez;Damian Lillard;Brook Lopez
1038228;24;Phoenix Suns;131;38;24;5;Devin Booker;Kevin Durant;Kevin Durant;Devin Booker
1038245;1;Atlanta Hawks;126;51;27;4;Trae Young;Clint Capela;Trae Young;Bogdan Bogdanovic
1038317;24;Phoenix Suns;114;49;17;5;Devin Booker;Bradley Beal;Devin Booker;Kevin Durant
1038317;17;Milwaukee Bucks;106;44;23;4;Giannis Antetokounmpo;Giannis Antetokounmpo;Giannis Antetokounmpo;Robin Lopez
3277483;14;Los Angeles Lakers;131;52;35;5;Anthony Davis;Anthony Davis;LeBron James;Max Christie
1037878;1;Atlanta Hawks;121;40;23;4;Trae Young;Clint Capela;Trae Young;Clint Capela
1038546;14;Los Angeles Lakers;107;38;25;2;Austin Reaves;LeBron James;LeBron James;Anthony Davis
1038754;17;Milwaukee Bucks;117;43;27;4;Bobby Portis;Bobby Portis;Damian Lillard;Brook Lopez
1038162;1;Atlanta Hawks;106;41;21;2;Dejounte Murray;Jalen Johnson;Trae Young;Bogdan Bogdanovic
1038247;24;Phoenix Suns;98;39;19;5;Devin Booker;Drew Eubanks;Bradley Beal;Devin Booker
1038020;14;Los Angeles Lakers;133;42;41;7;Anthony Davis;Anthony Davis;LeBron James;Anthony Davis
1038771;17;Milwaukee Bucks;107;42;27;3;Brook Lopez;Bobby Portis;Patrick Beverley;MarJon Beauchamp
15881960;24;Phoenix Suns;95;28;16;6;Kevin Durant;Kevin Durant;Bradley Beal;Jusuf Nurkic
1037979;24;Phoenix Suns;105;45;17;4;Kevin Durant;Udoka Azubuike;Devin Booker;Grayson Allen
1038717;24;Phoenix Suns;97;49;29;3;Grayson Allen;Jusuf Nurkic;Devin Booker;Bol Bol
1037880;24;Phoenix Suns;116;44;24;5;Devin Booker;Devin Booker;Devin Booker;Drew Eubanks
1037962;14;Los Angeles Lakers;108;40;27;7;LeBron James;Anthony Davis;LeBron James;Anthony Davis
1038048;24;Phoenix Suns;109;47;24;5;Bradley Beal;Bol Bol;Devin Booker;Jusuf Nurkic
1038261;1;Atlanta Hawks;138;46;32;2;Trae Young;Clint Capela;Trae Young;Clint Capela
1037645;24;Phoenix Suns;114;43;29;7;Kevin Durant;Jusuf Nurkic;Kevin Durant;Drew Eubanks
7050284;1;Atlanta Hawks;114;55;20;4;De'Andre Hunter;Clint Capela;Dejounte Murray;Onyeka Okongwu
1038394;14;Los Angeles Lakers;110;41;28;9;Anthony Davis;Anthony Davis;D'Angelo Russell;Anthony Davis
1038716;1;Atlanta Hawks;95;56;21;2;Bogdan Bogdanovic;Jalen Johnson;Jalen Johnson;Clint Capela
1037629;17;Milwaukee Bucks;110;39;22;3;Giannis Antetokounmpo;Giannis Antetokounmpo;Damian Lillard;Giannis Antetokounmpo
1037643;14;Los Angeles Lakers;106;40;28;10;D'Angelo Russell;Anthony Davis;D'Angelo Russell;Anthony Davis
1037864;1;Atlanta Hawks;137;37;24;2;Trae Young;Clint Capela;Trae Young;Clint Capela
1038777;24;Phoenix Suns;108;41;25;4;Kevin Durant;Jusuf Nurkic;Devin Booker;Jusuf Nurkic
1038102;17;Milwaukee Bucks;116;38;31;6;Giannis Antetokounmpo;Giannis Antetokounmpo;Giannis Antetokounmpo;Andre Jackson Jr.
1037756;14;Los Angeles Lakers;110;43;25;6;LeBron James;Austin Reaves;LeBron James;Anthony Davis
1038187;1;Atlanta Hawks;95;45;25;4;Dejounte Murray;Clint Capela;Dejounte Murray;Clint Capela
1038413;1;Atlanta Hawks;109;44;31;3;Dejounte Murray;Jalen Johnson;Dejounte Murray;Jalen Johnson
1038440;14;Los Angeles Lakers;116;39;28;5;LeBron James;Anthony Davis;LeBron James;Anthony Davis
1037826;14;Los Angeles Lakers;121;44;34;8;Anthony Davis;Anthony Davis;Austin Reaves;Anthony Davis
1037989;14;Los Angeles Lakers;129;44;38;7;LeBron James;Anthony Davis;Austin Reaves;Anthony Davis
1038739;1;Atlanta Hawks;111;59;28;2;Dejounte Murray;Dejounte Murray;Dejounte Murray;Bogdan Bogdanovic
1037909;24;Phoenix Suns;112;49;28;4;Devin Booker;Jusuf Nurkic;Devin Booker;Kevin Durant
1038240;17;Milwaukee Bucks;141;45;30;0;Giannis Antetokounmpo;Giannis Antetokounmpo;Damian Lillard;Thanasis Antetokounmpo
1038240;17;Milwaukee Bucks;141;45;30;0;Giannis Antetokounmpo;Giannis Antetokounmpo;Damian Lillard;Giannis Antetokounmpo
1038565;14;Los Angeles Lakers;121;39;32;4;LeBron James;Jaxson Hayes;D'Angelo Russell;Anthony Davis
1038686;14;Los Angeles Lakers;128;47;38;8;D'Angelo Russell;Anthony Davis;LeBron James;Spencer Dinwiddie
15882404;17;Milwaukee Bucks;108;40;24;4;Damian Lillard;Bobby Portis;Khris Middleton;Patrick Beverley
15882409;17;Milwaukee Bucks;118;43;20;2;Khris Middleton;Bobby Portis;Damian Lillard;Patrick Beverley
1037985;1;Atlanta Hawks;119;41;28;5;Trae Young;Clint Capela;Trae Young;Clint Capela
1038164;17;Milwaukee Bucks;95;36;19;6;Damian Lillard;Andre Jackson Jr.;Damian Lillard;Brook Lopez
1038366;24;Phoenix Suns;130;39;29;6;Kevin Durant;Kevin Durant;Devin Booker;Jusuf Nurkic
1038037;1;Atlanta Hawks;130;58;27;3;Trae Young;Clint Capela;Trae Young;Saddiq Bey
1038748;24;Phoenix Suns;92;38;17;7;Kevin Durant;Royce O'Neale;Devin Booker;Bradley Beal
1037976;1;Atlanta Hawks;113;43;29;2;Trae Young;Saddiq Bey;Trae Young;Onyeka Okongwu
1038035;14;Los Angeles Lakers;106;39;23;4;Anthony Davis;Anthony Davis;Anthony Davis;Anthony Davis
1038009;17;Milwaukee Bucks;144;41;41;7;Giannis Antetokounmpo;Giannis Antetokounmpo;Khris Middleton;Giannis Antetokounmpo
1038590;17;Milwaukee Bucks;119;41;20;6;Damian Lillard;Bobby Portis;Damian Lillard;Brook Lopez
1037733;24;Phoenix Suns;99;52;20;7;Kevin Durant;Kevin Durant;Bradley Beal;Kevin Durant
1038339;14;Los Angeles Lakers;139;32;32;5;D'Angelo Russell;Jaxson Hayes;LeBron James;Anthony Davis
1038558;1;Atlanta Hawks;122;41;32;5;Dejounte Murray;Clint Capela;Dejounte Murray;Clint Capela
1038783;17;Milwaukee Bucks;88;34;16;4;Khris Middleton;Bobby Portis;Khris Middleton;Brook Lopez
1037907;17;Milwaukee Bucks;140;43;27;8;Giannis Antetokounmpo;Giannis Antetokounmpo;Khris Middleton;Brook Lopez
1037593;14;Los Angeles Lakers;107;44;23;4;LeBron James;Anthony Davis;D'Angelo Russell;Anthony Davis
7045524;14;Los Angeles Lakers;106;45;24;2;LeBron James;Anthony Davis;LeBron James;Anthony Davis
1038655;14;Los Angeles Lakers;90;48;24;3;Anthony Davis;Anthony Davis;LeBron James;Cameron Reddish
